model,sea,metric,value,forecast_len,step
baseline_mean,Barents Sea,iou,0.6304353922605515,30,1d
baseline_mean,Barents Sea,bin_accuracy,0.9108335971832277,30,1d
baseline_mean,Chukchi Sea,mae,0.1332277995534241,30,1d
baseline_mean,Chukchi Sea,rmse,0.2624016162008047,30,1d
baseline_mean,Chukchi Sea,psnr,11.967468857765198,30,1d
baseline_mean,Chukchi Sea,ssim,0.6170338951051235,30,1d
baseline_mean,Chukchi Sea,iou,0.674072727560997,30,1d
baseline_mean,Chukchi Sea,bin_accuracy,0.8797181323170662,30,1d
baseline_mean,Kara Sea,mae,0.0964980954304337,30,1d
baseline_mean,Kara Sea,rmse,0.2161909025162458,30,1d
baseline_mean,Kara Sea,psnr,13.385347127914429,30,1d
baseline_mean,Kara Sea,ssim,0.728583887219429,30,1d
baseline_mean,Kara Sea,iou,0.718451589345932,30,1d
baseline_mean,Kara Sea,bin_accuracy,0.911898359656334,30,1d
baseline_mean,Laptev Sea,mae,0.0655195703729987,30,1d
baseline_mean,Laptev Sea,rmse,0.1832650722935795,30,1d
baseline_mean,Laptev Sea,psnr,14.98929226398468,30,1d
baseline_mean,Laptev Sea,ssim,0.8356393352150917,30,1d
baseline_mean,Laptev Sea,iou,0.7773458808660507,30,1d
baseline_mean,Laptev Sea,bin_accuracy,0.9463537782430648,30,1d
baseline_mean,Sea of Japan,mae,0.011032767011784,30,1d
baseline_mean,Sea of Japan,rmse,0.0655851117335259,30,1d
baseline_mean,Sea of Japan,psnr,23.99568462371826,30,1d
baseline_mean,Sea of Japan,ssim,0.9145540297031404,30,1d
baseline_mean,Sea of Japan,iou,0.204333659261465,30,1d
baseline_mean,Sea of Japan,bin_accuracy,0.9803671836853028,30,1d
baseline_repeat,Barents Sea,mae,0.0513940062373876,30,1d
baseline_repeat,Barents Sea,rmse,0.1458750693127513,30,1d
baseline_repeat,Barents Sea,psnr,16.7600599527359,30,1d
baseline_repeat,Barents Sea,ssim,0.8126293942332268,30,1d
baseline_repeat,Barents Sea,iou,0.743973933160305,30,1d
baseline_repeat,Barents Sea,bin_accuracy,0.9482288882136344,30,1d
baseline_repeat,Chukchi Sea,mae,0.065473822876811,30,1d
baseline_repeat,Chukchi Sea,rmse,0.1687821485102176,30,1d
baseline_repeat,Chukchi Sea,psnr,15.654554963111876,30,1d
baseline_repeat,Chukchi Sea,ssim,0.7683542743325233,30,1d
baseline_repeat,Chukchi Sea,iou,0.7763192430138588,30,1d
baseline_repeat,Chukchi Sea,bin_accuracy,0.943418838083744,30,1d
baseline_repeat,Kara Sea,mae,0.0545824575237929,30,1d
baseline_repeat,Kara Sea,rmse,0.1508317533880472,30,1d
baseline_repeat,Kara Sea,psnr,16.461272358894348,30,1d
baseline_repeat,Kara Sea,ssim,0.8271841555833817,30,1d
baseline_repeat,Kara Sea,iou,0.8242772817611694,30,1d
baseline_repeat,Kara Sea,bin_accuracy,0.9533539041876792,30,1d
baseline_repeat,Laptev Sea,mae,0.0322566314134746,30,1d
baseline_repeat,Laptev Sea,rmse,0.1169749749824404,30,1d
baseline_repeat,Laptev Sea,psnr,18.876209259033203,30,1d
baseline_repeat,Laptev Sea,ssim,0.9066845029592514,30,1d
baseline_repeat,Laptev Sea,iou,0.8576222583651543,30,1d
baseline_repeat,Laptev Sea,bin_accuracy,0.9744832664728164,30,1d
baseline_repeat,Sea of Japan,mae,0.0061962250911165,30,1d
baseline_repeat,Sea of Japan,rmse,0.0469748633913695,30,1d
baseline_repeat,Sea of Japan,psnr,26.890151262283325,30,1d
baseline_repeat,Sea of Japan,ssim,0.9435259103775024,30,1d
baseline_repeat,Sea of Japan,iou,0.3265949822962284,30,1d
baseline_repeat,Sea of Japan,bin_accuracy,0.9892643615603448,30,1d
baseline_repeat,Barents Sea,mae,0.0265144302975386,7,1d
